Name,Barcode,Reference,Salesprice,Stock
"Cupwheel 110/90x55,0x22,23 AS36Q metal",4081600631036,010137A,14.9,10
"Cupwheel 110/90x55,0x22,23 CS120N stone",4081600631081,010144A,14.9,0
"Cupwheel 110/90x55,0x22,23 CS16N stone",4081600631050,010140A,14.9,0
"Cupwheel 110/90x55,0x22,23 CS24N stone",4081600631029,010141A,14.9,10
"Cupwheel 110/90x55,0x22,23 CS36N stone",4081600631043,010142A,14.45,0
"Cupwheel 110/90x55,0x22,23 CS60N stone",4081600631074,010143A,14.9,0
"Cupwheel 110/90x55,0x22,23 AS120Q metal",,010139A,14.178,0
"Cupwheel 110/90x55,0x22,23 AS60Q metal",,010138A,14.178,0
"Cut-off wheel 115x1,0x22,23 A60R metal flat",4081600110012,010383B,2,0
"Cut-off wheel 115x1,6x22,23 AS46T stainl.steel flat",4081600111118,010046A,1.95,1475
"Cut-off wheel 115x2,5x22,23 AS30S stainl.steel depressed",4081600113303,010034A,2,50
"Cut-off wheel 115x2,5x22,23 AS30T metal depressed",4081600113037,010019A,1.4,0
"Cut-off wheel 115x1,6x22,23 A46R metal flat",4081600110036,010385B,1.9,0
"Cut-off wheel 115x1,2x22,23 C60R stone flat",4081600110043,010359B,2.15,50
"Cut-off wheel 115x1,6x22,23 AS46V stainl.steel flat",4081600111132,010387B,2.25,50
"Cut-off wheel 115x1,0x22,23 AS60T stainl.steel flat",4081600111026,010048A,2,9075
"Cut-off wheel 115x1,0x22,23 AS60V metal flat",4081600111125,010357B,2.25,2149
"Cut-off wheel 115x1,0x22,23 AS60T stainl.steel flat - box pr",4081600701050,010354B,23.2,0
"Cut-off wheel 115x2,2x22,23 AS30S stainl.steel flat",4081600111064,010033A,2.354,0
"Cut-off wheel 115x2,0x22,23 AS30T metal depressed",4081600113044,010018A,1.95,25
"Cut-off wheel 115x3,0x22,23 A24R metal depressed",4081600112009,010051A,1.75,275
"Cut-off wheel 115x3,0x22,23 AS30SHT metal depressed",4081600113013,010005A,2.568,0
"Cut-off wheel 115x3,0x22,23 AS30SHT metal flat",,010153B,2.2,100
"Cut-off wheel 115X3,0x22,23 AS24I stainl.steel depressed",,010035A,2.354,0
"Cut-off wheel 115x3,0x22,23 AS30S metal depressed",4081600113006,010010A,1.95,900
"Cut-off wheel 115x3,0x22,23 AS30 alu depressed",4081600113068,010027A,3.7,0
"Cut-off wheel 115x3,0x22,23 AS30S metal flat",4081600111002,010156B,1.95,0
"Grinding wheel 115x3,0x22,23 AS36TX metal depressed",,010393B,6.25,10
"Cut-off wheel 115x3,0x22,23 AS30V metal depressed",4081600113204,010001A,2.25,200
"Cut-off wheel 115x3,0x22,23 AS30V metal flat",4081600111200,010001B,2.25,0
"Cut-off wheel 115x3,0x22,23 A24R metal flat",4081600110005,010159B,1.75,0
"Cut-off wheel 115x3,0x22,23 C24R stone depressed",4081600117004,010071A,1.75,150
"Cut-off wheel 115x3,0x22,23 CS24R stone depressed",4081600118001,010057A,1.95,100
"Cut-off wheel 115x3,0x22,23 CS24R stone flat",,010162B,1.95,0
"Cut-off wheel 115X3,0x22,23 CS30S stone depressed",4081600118100,010064A,2.354,0
"Cut-off wheel 115x4,0x22,23 AS30 stainl.steel depressed",,010163B,3.799,0
"Grinding wheel 115x6,0x22,23 A30T metal depressed",4081600310023,010102A,3.25,140
"Grinding wheel 115x6,0x22,23 AS24R metal depressed",,010164B,3.906,0
"Grinding wheel 115x6,0x22,23 AS30R metal depressed",4081600313000,010091A,3.45,110
"Grinding wheel 115x6,0x22,23 AS30S stainl.steel depressed",4081600313062,010097A,4.25,0
"Grinding wheel 115x6,0x22,23 AS46 alu depressed",4081600313079,010165B,4.25,0
"Grinding wheel 115x6,0x22,23 CS30S stone depressed",4081600313109,010107A,3.65,70
"Semiflex disc SC 115x22,23 G024",5412605010585,010356B,2.7,817
"Semiflex disc SC 115x22,23 G036",5412605010592,010166B,2.7,-170
"Cut-off wheel 125x1,0x22,23 A60R metal flat",4081600120011,010373B,2.05,0
"Cut-off wheel 125x1,6x22,23 AS46T stainl.steel flat",4081600121117,010047A,2,1275
"Cut-off wheel 125x1,0x22,23 AS60T stainl.steel flat",4081600121025,010049A,2.1,10651
"Cut-off wheel 125x1,0x22,23 AS60V metal flat",4081600121179,010358B,2.35,4025
